,Cleaned modifiedDoorDash Score
0,82.806
1,79.354
2,81.707
3,79.258
4,77.918
5,79.864
6,79.575
7,77.864
8,84.943
9,80.49
10,79.234
11,82.366
12,82.815
13,78.906
14,78.221
15,77.456
16,75.09
17,80.07
18,81.864
19,79.877
20,77.136
21,79.249
22,78.698
23,80.127
24,79.862
25,77.645
26,79.533
27,80.707
28,81.743
29,81.172
30,81.41
31,82.463
32,81.407
33,77.698
34,80.027
35,81.298
36,81.081
37,72.307
38,82.302
39,74.17
40,80.85
41,83.456
42,76.303
43,80.801
44,82.096
45,81.514
46,80.378
47,83.043
48,81.815
49,83.434
50,77.692
51,80.939
52,79.812
53,81.889
54,80.521
55,82.001
56,78.2
57,83.846
58,83.571
59,82.657
60,77.43
61,78.972
62,78.088
63,78.478
64,77.079
65,82.092
66,80.259
67,77.414
68,81.905
69,78.304
70,81.961
71,81.951
72,85.559
73,80.84
74,83.634
75,83.275
76,76.173
77,80.243
78,80.999
79,82.149
80,75.084
81,80.669
82,85.031
83,82.955
84,81.794
85,78.374
86,80.081
87,76.844
88,82.129
89,79.226
90,81.134
91,83.334
92,83.239
93,82.449
94,79.037
95,80.65
96,79.155
97,84.865
98,83.396
99,81.733
